,01.10.2018,02.10.2018,03.10.2018,04.10.2018,05.10.2018,06.10.2018,07.10.2018,08.10.2018,09.10.2018,10.10.2018,11.10.2018,12.10.2018,13.10.2018,14.10.2018,15.10.2018,16.10.2018,17.10.2018,18.10.2018,19.10.2018,20.10.2018,21.10.2018,22.10.2018,23.10.2018,24.10.2018,25.10.2018,26.10.2018,27.10.2018,28.10.2018,29.10.2018,30.10.2018,31.10.2018,01.11.2018,02.11.2018,03.11.2018,04.11.2018,05.11.2018,06.11.2018,07.11.2018,08.11.2018,09.11.2018,10.11.2018,11.11.2018,12.11.2018,13.11.2018,14.11.2018,15.11.2018,16.11.2018,17.11.2018,18.11.2018,19.11.2018,20.11.2018,21.11.2018,22.11.2018,23.11.2018,24.11.2018,25.11.2018,26.11.2018,27.11.2018,28.11.2018,29.11.2018,30.11.2018,01.12.2018,02.12.2018,03.12.2018,04.12.2018,05.12.2018,06.12.2018,07.12.2018,08.12.2018,09.12.2018,10.12.2018,11.12.2018,12.12.2018,13.12.2018,14.12.2018
Оперативный мониторинг::2. Запросы на администрирование,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ИАС ЖИЛФОНД::Регистрация пользователя или организации,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alfa BI::Настройка системы,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Автограф (МинСоц)::Регистрация/удаления  транспортных средств,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АС МИО::Тестирование,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,8,9,0,0,7,39,21,21,42,15,16,27,4,25,17,12,3,3,19,3,9,4,3,2,2,2,4,6,2,2
Портал НПА::Регистрация пользователя,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lotus - Почтовый сервер::Регистрация пользователя,0,1,0,1,2,2,2,4,1,4,3,3,3,3,3,1,1,2,2,2,2,3,2,1,1,2,2,2,4,2,4,2,1,1,1,1,2,1,2,2,0,0,1,0,1,0,0,0,0,1,0,3,3,1,0,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,3,2,1,3,0
Портал НПА,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ГИС-портал::Создание и редактирование слоев, разработка иконок и стилей отображения объектов",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
СЭД ЧО::Доработка системы,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Alfa BI::Устранение сбоев,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaspersky Security Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,2,3,2,2,2,1,1,1,1,2,1,0,0,0,2,1,1,2,2,1,1,2,1,1,3,3,3,3,4,5,4,4,4
РГМУ::Подготовка отчёта,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Оперативный мониторинг::Регистрация пользователя,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
АС МИО,1,6,8,7,8,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,13,22,47,47,47,53,46,41,45,22,16,16,16,18,17,24,22,15,17,34,26,9,8,8,7,7,7,7,8,7,7,7,7,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,7,7,9,9
АИС Минсоц::Проверка работоспособности Системы после установки обновления,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
РГМУ::Консультация,2,5,3,3,3,3,3,3,3,4,2,1,1,1,3,5,3,5,3,2,2,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,3,3,4,2,2,4,3,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,4,3,3
Обращения граждан,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0
Консультант Регион,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lotus - Почтовый сервер::Установка и настройка клиента,0,0,2,2,2,2,2,3,3,3,4,4,4,4,5,2,1,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Печатная техника::Замена картриджа,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0
Техника,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
СУС::Предоставление информации органам власти,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Lotus - Почтовый сервер::Выпуск сертификата,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaspersky Security Center::Установить KES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
СЭД ЧО,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,2,0
СЭД ЧО::Устранение сбоев,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,1,1,4,1,1,2,1,1,1,2,0,0,0,0,0,0,1,0,0,1,1,1,1,2,1,1,10,1,1,1,1,1,2,1,1,1,1,1,1,5,3
Оперативный мониторинг::Недоступность системы,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Система взаимодействия с подсистемами (Автограф)::Синхронизация данных с БД РНИС (проверка),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaspersky Security Center::Добавление ключа лицензии,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Active Directory::Предоставить право доступа к ресурсу,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Veeam Backup::Создание сценария резервного копирования VM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АС ЮУ::Маршрутизация запросов,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IP Телефония::Настройка функционирования АТС,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
АС ЮУ::Недоступность системы,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АС ЮУ::Устранение сбоев,1,7,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,1,2,2,2,2,2,2,3,3,3,3,3,1,1,1,5,4,4,4,12,12,9,8,6,6,6,5,6,11,5,2,2,3,4,5,6,6,6,6,10,12,6,10,9,8,8,10,8,9,11,11,10,10,12,16,18,13,7
Lotus - Почтовый сервер,0,0,0,1,1,1,1,3,4,4,4,3,3,3,7,4,5,5,5,3,3,3,2,1,1,2,1,1,1,1,2,0,1,1,1,1,2,2,0,0,0,0,0,0,0,0,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1
OTRS::Управление правами доступа,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АИС Минсоц::Консультации по формированию выплат,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
